"X1","X2","X3"
364401,"default",2012-08-01
364403,"default",2012-08-01
364404,"not default",NA
364408,"default",2012-06-01
364421,"default",2012-08-01
364422,"default",2012-05-01
364427,"not default",NA
364433,"default",2012-05-01
364449,"not default",NA
364453,"default",2012-09-01
364454,"default",2012-05-01
364455,"default",2012-06-01
364461,"default",2012-05-01
364473,"default",2012-07-01
364475,"not default",NA
364487,"default",2012-08-01
364491,"default",2012-08-01
364493,"default",2012-09-01
364496,"not default",NA
364503,"default",2012-07-01
364507,"default",2012-08-01
364509,"default",2012-09-01
364512,"not default",NA
364517,"default",2012-08-01
364518,"not default",NA
364520,"default",2012-05-01
364535,"not default",NA
364541,"not default",NA
364545,"default",2012-07-01
364548,"default",2012-08-01
364551,"not default",NA
364559,"default",2012-08-01
364563,"default",2012-06-01
364569,"default",2012-08-01
364572,"not default",NA
364573,"default",2012-08-01
364578,"default",2012-05-01
364579,"not default",NA
364588,"not default",NA
364589,"not default",NA
364593,"not default",NA
364601,"default",2012-05-01
364602,"default",2012-05-01
364603,"default",2012-08-01
364609,"not default",NA
364611,"default",2012-07-01
364617,"not default",NA
364625,"default",2012-08-01
364630,"not default",NA
364632,"default",2012-07-01
364637,"not default",NA
364638,"default",2012-05-01
364639,"not default",NA
364641,"not default",NA
364648,"default",2012-05-01
364649,"not default",NA
364654,"default",2012-08-01
364671,"default",2012-06-01
364672,"not default",NA
364674,"default",2012-06-01
364679,"default",2012-07-01
