"X1","X2","X3"
361197,"default",2012-08-01
361198,"default",2012-08-01
361199,"default",2012-06-01
361200,"default",2012-08-01
361201,"default",2012-08-01
361207,"default",2012-08-01
361209,"default",2012-08-01
361211,"default",2012-08-01
361212,"default",2012-06-01
361213,"not default",NA
361219,"default",2012-05-01
361221,"default",2012-09-01
361227,"default",2012-08-01
361233,"default",2012-08-01
361234,"default",2012-08-01
361239,"default",2012-05-01
361242,"default",2012-05-01
361245,"default",2012-08-01
361248,"default",2012-08-01
361249,"default",2012-06-01
361251,"default",2012-08-01
361252,"default",2012-08-01
361261,"default",2012-05-01
361271,"default",2012-06-01
361275,"not default",NA
361277,"default",2012-08-01
361279,"default",2012-06-01
361281,"not default",NA
361282,"default",2012-06-01
361289,"not default",NA
361290,"default",2012-08-01
361301,"not default",NA
361304,"default",2012-06-01
361306,"default",2012-05-01
361317,"default",2012-08-01
361325,"default",2012-05-01
361327,"default",2012-05-01
361346,"default",2012-05-01
361352,"default",2012-06-01
361354,"default",2012-05-01
361356,"default",2012-08-01
361366,"default",2012-08-01
361368,"default",2012-05-01
361371,"default",2012-05-01
361373,"not default",NA
361384,"not default",NA
361388,"not default",NA
361403,"default",2012-08-01
361406,"default",2012-08-01
361413,"not default",NA
361415,"default",2012-05-01
361416,"default",2012-08-01
361420,"default",2012-05-01
361422,"default",2012-06-01
361423,"default",2012-08-01
361433,"default",2012-05-01
361434,"default",2012-09-01
361435,"not default",NA
361441,"not default",NA
361444,"default",2012-08-01
361448,"not default",NA
361450,"not default",NA
361452,"default",2012-08-01
361456,"default",2012-08-01
361458,"not default",NA
361459,"default",2012-08-01
361460,"default",2012-08-01
361462,"default",2012-05-01
361474,"not default",NA
361475,"default",2012-05-01
361477,"default",2012-06-01
361479,"default",2012-08-01
361481,"not default",NA
361484,"default",2012-08-01
361485,"default",2012-08-01
361493,"not default",NA
361509,"default",2012-08-01
361516,"default",2012-08-01
361523,"default",2012-08-01
361525,"not default",NA
361527,"default",2012-08-01
361534,"not default",NA
361541,"default",2012-06-01
361543,"default",2012-06-01
361553,"not default",NA
361555,"default",2012-05-01
361557,"default",2012-08-01
361569,"default",2012-08-01
361571,"default",2012-08-01
361581,"not default",NA
361589,"default",2012-08-01
361590,"default",2012-09-01
361592,"not default",NA
361600,"default",2012-08-01
361601,"default",2012-05-01
361605,"default",2012-05-01
361607,"default",2012-08-01
361611,"default",2012-08-01
361623,"default",2012-07-01
361624,"default",2012-08-01
361629,"default",2012-08-01
361631,"default",2012-08-01
361632,"default",2012-06-01
361633,"not default",NA
361636,"default",2012-08-01
361641,"not default",NA
361642,"default",2012-08-01
361643,"default",2012-06-01
361648,"default",2012-08-01
361651,"default",2012-09-01
361656,"not default",NA
361657,"default",2012-06-01
361659,"not default",NA
361661,"not default",NA
361663,"default",2012-08-01
361669,"default",2012-08-01
361670,"default",2012-04-01
361671,"default",2012-05-01
361676,"default",2012-08-01
361683,"not default",NA
361686,"not default",NA
361690,"default",2012-08-01
361693,"not default",NA
361694,"default",2012-08-01
361696,"default",2012-08-01
361700,"default",2013-07-01
361704,"default",2013-07-01
361709,"not default",NA
361710,"default",2012-08-01
361713,"default",2012-08-01
361714,"default",2013-06-01
361716,"not default",NA
361719,"default",2012-08-01
361721,"default",2012-08-01
361723,"default",2012-08-01
361724,"default",2013-07-01
361725,"default",2012-08-01
361730,"default",2012-08-01
361732,"default",2012-07-01
361733,"default",2012-08-01
361736,"not default",NA
361738,"default",2012-07-01
361746,"default",2012-08-01
361748,"not default",NA
361749,"default",2012-06-01
361750,"default",2013-07-01
361752,"default",2012-08-01
361754,"default",2012-06-01
361756,"not default",NA
361757,"default",2012-06-01
361765,"default",2012-08-01
361767,"default",2012-06-01
361768,"not default",NA
361769,"default",2013-07-01
361775,"default",2012-08-01
361778,"default",2012-06-01
361781,"default",2012-08-01
361782,"not default",NA
361787,"default",2012-09-01
361790,"default",2012-08-01
361795,"default",2012-08-01
361807,"not default",NA
361809,"not default",NA
361822,"default",2012-05-01
361824,"default",2012-05-01
361830,"default",2012-08-01
361831,"default",2012-08-01
361834,"default",2012-06-01
361835,"default",2012-06-01
361839,"default",2012-06-01
361850,"default",2012-09-01
361863,"default",2012-06-01
361867,"default",2012-05-01
361868,"default",2012-05-01
361872,"default",2012-06-01
361880,"default",2012-06-01
361883,"default",2012-06-01
361888,"default",2012-06-01
361890,"default",2012-06-01
361894,"default",2012-06-01
361898,"default",2012-06-01
361912,"default",2012-05-01
361914,"default",2012-05-01
361917,"default",2013-04-01
361921,"default",2012-08-01
361926,"default",2012-03-01
361928,"default",2012-08-01
361932,"default",2012-08-01
361935,"default",2012-05-01
361937,"default",2012-08-01
361940,"not default",NA
361943,"not default",NA
361954,"default",2012-08-01
361955,"not default",NA
361961,"default",2012-07-01
361962,"default",2012-08-01
361963,"default",2012-08-01
361964,"default",2012-08-01
361966,"not default",NA
361970,"not default",NA
361971,"default",2012-06-01
361977,"default",2012-08-01
361982,"default",2012-09-01
361989,"default",2012-06-01
361990,"default",2012-08-01
361993,"default",2012-07-01
361996,"default",2012-08-01
361998,"default",2012-08-01
362000,"default",2012-08-01
362001,"default",2012-08-01
362004,"default",2012-06-01
362008,"default",2012-06-01
362009,"default",2012-08-01
362013,"default",2012-08-01
362017,"default",2012-08-01
362021,"not default",NA
362023,"default",2012-06-01
362024,"default",2012-09-01
362026,"default",2012-03-01
362027,"default",2012-08-01
362029,"default",2012-09-01
362045,"not default",NA
362049,"default",2012-07-01
362055,"default",2012-06-01
362056,"default",2012-06-01
362059,"default",2012-07-01
362060,"default",2012-06-01
362062,"default",2012-05-01
362066,"default",2012-07-01
362074,"default",2012-08-01
362075,"default",2012-06-01
362078,"default",2012-08-01
362079,"default",2012-06-01
362085,"default",2012-06-01
362089,"default",2012-07-01
362096,"default",2012-06-01
362097,"default",2012-06-01
362098,"default",2012-06-01
362100,"default",2012-05-01
362101,"default",2012-08-01
362103,"default",2012-08-01
362106,"default",2012-08-01
362109,"default",2012-08-01
362121,"default",2012-08-01
362123,"default",2012-08-01
362133,"default",2012-08-01
362135,"not default",NA
362139,"default",2012-08-01
362143,"default",2012-08-01
362156,"default",2012-09-01
362158,"default",2012-05-01
362162,"default",2012-08-01
362165,"default",2012-08-01
362167,"default",2012-10-01
362168,"default",2012-08-01
362170,"default",2012-05-01
362171,"default",2012-08-01
362172,"not default",NA
362173,"default",2012-05-01
362177,"default",2012-08-01
362179,"default",2012-07-01
362188,"default",2012-07-01
362189,"default",2012-06-01
362190,"default",2012-08-01
362191,"default",2012-08-01
362195,"default",2012-11-01
362196,"default",2012-11-01
362199,"default",2012-09-01
362204,"default",2013-06-01
362205,"default",2012-08-01
362206,"default",2012-07-01
362207,"default",2012-08-01
362211,"not default",NA
362217,"default",2012-08-01
362219,"not default",NA
362220,"default",2012-08-01
362222,"not default",NA
362224,"default",2012-03-01
362229,"not default",NA
362231,"not default",NA
362240,"not default",NA
362243,"not default",NA
362247,"default",2012-08-01
362248,"default",2012-08-01
362251,"default",2012-05-01
362254,"default",2012-08-01
362257,"default",2012-08-01
362260,"not default",NA
362265,"default",2012-08-01
362274,"default",2012-08-01
362279,"default",2012-07-01
362283,"default",2012-08-01
362285,"default",2012-08-01
362286,"default",2012-07-01
362293,"default",2012-07-01
362300,"default",2012-07-01
362301,"default",2012-08-01
362302,"default",2012-08-01
362309,"default",2012-06-01
362316,"default",2012-08-01
362319,"default",2012-08-01
362324,"not default",NA
362325,"not default",NA
362328,"default",2012-06-01
362335,"default",2012-08-01
362336,"default",2012-08-01
362341,"default",2012-08-01
362343,"default",2012-08-01
362346,"default",2012-08-01
362350,"default",2012-08-01
362351,"default",2012-08-01
362353,"default",2012-08-01
362354,"default",2012-08-01
362356,"not default",NA
362357,"not default",NA
362370,"not default",NA
362380,"not default",NA
362385,"default",2012-08-01
362388,"default",2012-08-01
362392,"default",2013-06-01
362395,"default",2013-06-01
362397,"default",2012-07-01
362402,"default",2012-08-01
362405,"default",2012-08-01
362406,"default",2012-08-01
362411,"default",2012-08-01
362413,"not default",NA
362421,"default",2013-06-01
362426,"default",2012-08-01
362433,"not default",NA
362434,"default",2012-08-01
362436,"default",2013-07-01
362437,"default",2012-06-01
362438,"default",2012-08-01
362439,"not default",NA
362445,"not default",NA
362448,"not default",NA
362455,"not default",NA
362457,"default",2012-08-01
362460,"default",2012-08-01
362463,"default",2012-06-01
362464,"default",2012-06-01
362472,"not default",NA
362473,"default",2012-08-01
362476,"not default",NA
362482,"default",2012-08-01
362485,"default",2012-08-01
362487,"not default",NA
362492,"default",2012-08-01
362493,"not default",NA
362497,"not default",NA
362499,"default",2012-08-01
362500,"default",2012-08-01
362501,"not default",NA
362502,"not default",NA
362503,"not default",NA
362508,"not default",NA
362511,"not default",NA
362514,"not default",NA
362522,"default",2012-05-01
362527,"default",2012-06-01
362529,"default",2012-06-01
362534,"default",2012-08-01
362535,"default",2012-05-01
362536,"default",2012-08-01
362537,"default",2012-08-01
362540,"default",2012-08-01
362544,"default",2012-05-01
362551,"not default",NA
362552,"default",2012-06-01
362553,"default",2012-05-01
362554,"not default",NA
362556,"default",2012-05-01
362557,"default",2012-08-01
362562,"default",2012-08-01
362563,"default",2012-11-01
362566,"default",2012-08-01
362569,"default",2012-10-01
362570,"default",2012-06-01
362572,"default",2012-06-01
362574,"default",2013-03-01
362576,"default",2012-06-01
362577,"default",2012-08-01
362578,"default",2012-08-01
362579,"default",2012-05-01
362580,"default",2012-05-01
362581,"default",2012-08-01
362584,"default",2012-05-01
362588,"default",2012-05-01
362589,"default",2012-08-01
362594,"default",2012-05-01
362597,"default",2012-06-01
362598,"default",2012-08-01
362608,"default",2012-05-01
362612,"not default",NA
362616,"default",2012-08-01
362623,"default",2012-05-01
362625,"default",2012-05-01
362626,"default",2012-08-01
362627,"default",2012-08-01
362640,"not default",NA
362654,"default",2012-05-01
362659,"not default",NA
362660,"default",2012-08-01
362662,"default",2012-08-01
362666,"default",2012-08-01
362672,"default",2012-05-01
362676,"default",2012-08-01
362680,"default",2012-03-01
362684,"default",2012-08-01
362686,"default",2012-05-01
362689,"default",2012-08-01
362691,"not default",NA
362696,"not default",NA
362699,"default",2012-05-01
362702,"default",2012-05-01
362705,"default",2012-08-01
362707,"default",2013-01-01
362710,"not default",NA
362711,"not default",NA
362713,"default",2012-05-01
362716,"default",2012-06-01
362720,"default",2012-05-01
362724,"not default",NA
362731,"default",2012-07-01
362738,"not default",NA
362746,"not default",NA
362751,"not default",NA
362758,"default",2012-05-01
362761,"default",2012-05-01
362762,"default",2012-06-01
362766,"default",2012-08-01
362771,"not default",NA
362778,"not default",NA
362780,"default",2012-05-01
362781,"not default",NA
362782,"default",2012-06-01
362784,"default",2012-09-01
362785,"default",2012-08-01
362786,"default",2012-08-01
362788,"default",2012-06-01
362792,"not default",NA
362793,"default",2012-06-01
362798,"not default",NA
362802,"default",2013-01-01
362805,"default",2012-09-01
362806,"default",2012-08-01
362809,"not default",NA
362815,"not default",NA
362818,"not default",NA
362820,"default",2013-04-01
362823,"not default",NA
362824,"not default",NA
362827,"not default",NA
362829,"default",2012-08-01
362834,"default",2012-08-01
362841,"default",2012-08-01
362843,"default",2012-07-01
362845,"default",2012-05-01
362847,"default",2012-05-01
362849,"not default",NA
362855,"default",2012-08-01
362857,"default",2013-03-01
362863,"default",2012-07-01
362865,"default",2012-03-01
362867,"default",2012-07-01
362870,"default",2012-08-01
362872,"not default",NA
362874,"default",2012-05-01
362875,"not default",NA
362876,"default",2012-08-01
362881,"default",2012-06-01
362886,"not default",NA
362887,"default",2012-08-01
362888,"default",2012-07-01
362889,"default",2012-05-01
362891,"not default",NA
362895,"not default",NA
362896,"default",2012-09-01
362905,"default",2012-06-01
362909,"default",2012-05-01
362911,"default",2012-03-01
362914,"default",2012-06-01
362917,"default",2012-06-01
362931,"not default",NA
362940,"default",2012-06-01
362951,"default",2012-08-01
362959,"default",2012-08-01
362965,"not default",NA
362975,"default",2012-08-01
362984,"not default",NA
362989,"not default",NA
362991,"default",2012-08-01
362998,"default",2013-06-01
363001,"default",2012-06-01
363002,"not default",NA
363009,"default",2012-08-01
363013,"not default",NA
363014,"not default",NA
363019,"default",2012-08-01
363022,"not default",NA
363024,"default",2012-05-01
363026,"default",2012-08-01
363030,"not default",NA
363034,"default",2012-08-01
363036,"not default",NA
363039,"default",2012-08-01
363041,"not default",NA
363044,"default",2012-08-01
363052,"not default",NA
363058,"not default",NA
363061,"not default",NA
363064,"default",2012-08-01
363065,"default",2012-07-01
363067,"default",2012-08-01
363069,"not default",NA
363070,"not default",NA
363071,"default",2012-08-01
363083,"not default",NA
363085,"default",2012-08-01
363086,"not default",NA
363095,"not default",NA
363104,"default",2012-06-01
363106,"default",2012-08-01
363113,"default",2012-08-01
363116,"default",2012-06-01
363118,"default",2012-08-01
363134,"default",2012-06-01
363137,"not default",NA
363141,"default",2012-08-01
363145,"default",2012-08-01
363151,"not default",NA
363152,"default",2012-06-01
363154,"not default",NA
363157,"default",2012-08-01
363160,"default",2012-03-01
363163,"default",2012-08-01
363172,"not default",NA
363179,"default",2012-04-01
363182,"not default",NA
363191,"default",2012-06-01
363196,"default",2012-08-01
363198,"not default",NA
363199,"default",2012-08-01
363201,"default",2012-05-01
363206,"not default",NA
363209,"default",2012-08-01
363210,"default",2012-08-01
363211,"default",2012-08-01
363215,"not default",NA
363220,"not default",NA
363221,"default",2012-08-01
363223,"not default",NA
363235,"default",2012-06-01
363238,"default",2012-05-01
363241,"not default",NA
363247,"default",2012-08-01
363256,"default",2012-05-01
363263,"default",2012-08-01
363268,"not default",NA
363282,"default",2012-08-01
363293,"default",2012-05-01
363296,"default",2012-05-01
363298,"not default",NA
363299,"default",2012-08-01
363300,"default",2012-05-01
363304,"not default",NA
363305,"default",2012-08-01
363314,"default",2013-04-01
363316,"default",2012-06-01
363326,"not default",NA
363333,"default",2012-08-01
363334,"default",2012-08-01
363336,"not default",NA
363342,"not default",NA
363343,"default",2012-06-01
363348,"not default",NA
363352,"not default",NA
