"","X1","X2","X3"
"15483",77911,"not default",NA
"15484",77912,"not default",NA
"15485",77913,"default",2009-07-01
"15486",77915,"not default",NA
"15487",77916,"not default",NA
"15488",77917,"not default",NA
"15489",77918,"not default",NA
"15490",77921,"not default",NA
"15491",77922,"not default",NA
"15492",77931,"not default",NA
"15493",77932,"not default",NA
"15494",77936,"not default",NA
"15495",77937,"not default",NA
"15496",77942,"not default",NA
"15497",77948,"not default",NA
"15498",77958,"not default",NA
"15499",77968,"not default",NA
"15500",77972,"not default",NA
"15501",77976,"not default",NA
"15502",77984,"not default",NA
"15503",77989,"not default",NA
"15504",77993,"not default",NA
"15505",77998,"not default",NA
"15506",78001,"not default",NA
"15507",78005,"not default",NA
"15508",78007,"not default",NA
"15509",78009,"not default",NA
"15510",78012,"not default",NA
"15511",78026,"not default",NA
"15512",78031,"not default",NA
"15513",78044,"not default",NA
"15514",78049,"not default",NA
"15515",78052,"not default",NA
"15516",78063,"not default",NA
"15517",78064,"not default",NA
"15518",78065,"not default",NA
"15519",78066,"not default",NA
"15520",78067,"not default",NA
"15521",78069,"not default",NA
"15522",78071,"not default",NA
"15523",78072,"not default",NA
"15524",78077,"not default",NA
"15525",78078,"not default",NA
"15526",78079,"not default",NA
"15527",78081,"not default",NA
"15528",78084,"not default",NA
"15529",78102,"not default",NA
"15530",78104,"not default",NA
"15531",78131,"not default",NA
"15532",78132,"not default",NA
"15533",78134,"not default",NA
"15534",78141,"not default",NA
"15535",78143,"not default",NA
"15536",78158,"not default",NA
"15537",78161,"not default",NA
"15538",78164,"not default",NA
"15539",78170,"not default",NA
"15540",78172,"not default",NA
"15541",78174,"not default",NA
"15542",78181,"not default",NA
"15543",78182,"not default",NA
"15544",78187,"not default",NA
"15545",78189,"not default",NA
"15546",78204,"not default",NA
"15547",78218,"not default",NA
"15548",78225,"not default",NA
"15549",78232,"not default",NA
"15550",78235,"not default",NA
"15551",78237,"not default",NA
"15552",78239,"not default",NA
"15553",78242,"not default",NA
"15554",78246,"not default",NA
"15555",78250,"not default",NA
"15556",78252,"not default",NA
"15557",78263,"not default",NA
"15558",78286,"not default",NA
"15559",78288,"not default",NA
"15560",78293,"not default",NA
"15561",78297,"not default",NA
"15562",78298,"not default",NA
"15563",78299,"not default",NA
"15564",78300,"not default",NA
"15565",78311,"not default",NA
"15566",78315,"not default",NA
"15567",78316,"not default",NA
"15568",78317,"not default",NA
"15569",78320,"not default",NA
"15570",78325,"not default",NA
"15571",78332,"not default",NA
