"","X1","X2","X3"
"39102",183737,"paid",2010-08-01
"39103",183738,"paid",2010-10-01
"39104",183740,"paid",2011-04-01
"39105",183743,"paid",2010-08-01
"39106",183747,"paid",2010-08-01
"39107",183749,"paid",2011-05-01
"39108",183750,"paid",2010-08-01
"39109",183752,"paid",2010-08-01
"39110",183758,"paid",2010-08-01
"39111",183759,"paid",2010-08-01
"39112",183774,"paid",2010-08-01
"39113",183777,"paid",2011-04-01
"39114",183778,"paid",2010-10-01
"39115",183787,"paid",2010-09-01
"39116",183788,"paid",2011-02-01
"39117",183795,"not paid",NA
"39118",183796,"paid",2011-05-01
"39119",183801,"not paid",NA
"39120",183803,"paid",2011-05-01
"39121",183813,"paid",2010-08-01
"39122",183816,"paid",2010-08-01
"39123",183822,"paid",2011-05-01
"39124",183824,"paid",2011-05-01
"39125",183841,"paid",2011-05-01
"39126",183842,"paid",2011-03-01
"39127",183844,"paid",2011-05-01
"39128",183847,"paid",2010-10-01
"39129",183856,"paid",2010-10-01
"39130",183860,"not paid",NA
"39131",183862,"paid",2010-10-01
"39132",183863,"not paid",NA
"39133",183865,"paid",2010-11-01
"39134",183866,"paid",2010-10-01
"39135",183867,"not paid",NA
"39136",183868,"paid",2010-09-01
"39137",183874,"paid",2011-03-01
"39138",183875,"not paid",NA
"39139",183877,"paid",2010-09-01
"39140",183881,"paid",2010-09-01
"39141",183883,"paid",2010-09-01
"39142",183884,"paid",2010-10-01
"39143",183885,"paid",2010-09-01
"39144",183893,"paid",2011-03-01
"39145",183896,"paid",2011-05-01
"39146",183899,"paid",2010-10-01
"39147",183908,"paid",2011-05-01
"39148",183909,"paid",2011-03-01
"39149",183911,"paid",2011-11-01
"39150",183915,"paid",2011-05-01
"39151",183940,"paid",2011-05-01
"39152",183941,"paid",2010-11-01
"39153",183942,"paid",2011-05-01
"39154",183944,"not paid",NA
"39155",183945,"paid",2011-04-01
"39156",183953,"paid",2011-04-01
"39157",183957,"paid",2011-02-01
"39158",183961,"paid",2010-09-01
"39159",183962,"not paid",NA
"39160",183973,"paid",2011-06-01
"39161",183977,"not paid",NA
"39162",183988,"paid",2010-08-01
"39163",183990,"paid",2011-03-01
"39164",184006,"paid",2011-04-01
"39165",184009,"paid",2010-10-01
"39166",184010,"paid",2011-04-01
"39167",184011,"paid",2010-08-01
"39168",184015,"paid",2011-05-01
"39169",184018,"paid",2011-05-01
"39170",184020,"paid",2010-08-01
"39171",184021,"paid",2011-05-01
"39172",184023,"paid",2010-08-01
"39173",184028,"paid",2010-10-01
"39174",184033,"paid",2010-10-01
"39175",184034,"paid",2010-10-01
"39176",184035,"paid",2011-02-01
"39177",184036,"paid",2011-02-01
"39178",184037,"paid",2010-10-01
"39179",184038,"not paid",NA
"39180",184039,"paid",2010-10-01
"39181",184040,"paid",2011-04-01
"39182",184041,"paid",2010-10-01
"39183",184047,"not paid",NA
"39184",184052,"paid",2011-04-01
"39185",184054,"paid",2010-08-01
"39186",184056,"paid",2010-11-01
"39187",184059,"not paid",NA
"39188",184066,"paid",2010-10-01
"39189",184079,"paid",2011-01-01
"39190",184082,"paid",2010-10-01
"39191",184085,"paid",2011-05-01
"39192",184092,"paid",2010-08-01
"39193",184096,"paid",2010-08-01
"39194",184102,"paid",2011-11-01
"39195",184108,"paid",2010-08-01
"39196",184110,"paid",2010-11-01
"39197",184111,"paid",2010-10-01
"39198",184114,"not paid",NA
"39199",184115,"not paid",NA
"39200",184116,"paid",2010-10-01
"39201",184118,"paid",2010-09-01
"39202",184119,"paid",2010-11-01
"39203",184120,"paid",2010-10-01
"39204",184121,"not paid",NA
"39205",184122,"paid",2011-05-01
"39206",184123,"not paid",NA
"39207",184134,"not paid",NA
"39208",184141,"paid",2011-02-01
"39209",184145,"paid",2012-04-01
"39210",184148,"paid",2011-02-01
"39211",184161,"paid",2012-04-01
"39212",184163,"paid",2011-04-01
"39213",184172,"paid",2011-05-01
"39214",184175,"paid",2011-12-01
"39215",184181,"paid",2011-06-01
"39216",184182,"not paid",NA
"39217",184194,"paid",2010-08-01
"39218",184196,"paid",2011-05-01
