"","X1","X2","X3"
"39718",186307,"not paid",NA
"39719",186311,"paid",2011-02-01
"39720",186320,"paid",2011-04-01
"39721",186329,"paid",2010-09-01
"39722",186335,"paid",2011-04-01
"39723",186340,"paid",2010-08-01
"39724",186342,"paid",2011-05-01
"39725",186343,"paid",2011-05-01
"39726",186344,"paid",2011-05-01
"39727",186345,"paid",2011-03-01
"39728",186347,"paid",2010-09-01
"39729",186352,"paid",2011-04-01
"39730",186354,"paid",2010-09-01
"39731",186355,"paid",2011-11-01
"39732",186358,"paid",2011-05-01
"39733",186359,"paid",2011-05-01
"39734",186360,"paid",2011-05-01
"39735",186364,"paid",2011-11-01
"39736",186365,"paid",2010-10-01
"39737",186369,"paid",2011-05-01
"39738",186374,"paid",2012-05-01
"39739",186391,"paid",2010-10-01
"39740",186392,"paid",2011-06-01
"39741",186395,"paid",2012-01-01
"39742",186396,"paid",2011-06-01
"39743",186397,"paid",2011-04-01
"39744",186400,"paid",2011-04-01
"39745",186402,"paid",2010-11-01
