Country Name,Country Code,Series Name,Series Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
Middle East & North Africa (IDA & IBRD countries),TMN,GDP per capita (current US$),NY.GDP.PCAP.CD,2955.44425230626,3539.11607768809,4284.10351139715,4091.02456705559,4625.40178666433,4673.49608515259,4950.68166347424
Middle income,MIC,GDP per capita (current US$),NY.GDP.PCAP.CD,2260.40942722463,2761.05626444413,3264.37933582855,3151.85249573979,3799.77242766286,4478.8140696518,4716.35907508888
North America,NAC,GDP per capita (current US$),NY.GDP.PCAP.CD,45741.0325855388,47727.4820398445,48398.1029489662,46581.2835386802,48552.9424055168,50289.0244037158,51881.1708863839
Not classified,INX,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..
OECD members,OED,GDP per capita (current US$),NY.GDP.PCAP.CD,31620.6430140409,34356.7954034449,36204.7884195546,33635.0329941469,35053.0002915507,37510.4689031111,37238.6273555564
Other small states,OSS,GDP per capita (current US$),NY.GDP.PCAP.CD,8968.75292915752,10676.4277517626,12721.4823126042,10649.6278514835,12135.4065878281,14656.7516002022,14983.3650641167
Pacific island small states,PSS,GDP per capita (current US$),NY.GDP.PCAP.CD,2586.38709734578,2818.28436900209,2977.75368068694,2649.81034233481,2882.7192639379,3324.79654277336,3482.42371396297
Post-demographic dividend,PST,GDP per capita (current US$),NY.GDP.PCAP.CD,35742.5425175519,38784.3634932165,40837.1603829801,38248.7923385649,39710.7654338051,42530.4301945738,42286.9172434272
Pre-demographic dividend,PRE,GDP per capita (current US$),NY.GDP.PCAP.CD,986.298641733348,1161.8293590628,1409.57886814994,1250.71377591628,1428.18009716759,1615.52032444531,1704.427150943
Small states,SST,GDP per capita (current US$),NY.GDP.PCAP.CD,8383.63694139828,9828.33176950541,11585.7895970117,9726.71099478148,10982.6283297217,13023.122324438,13379.8099524495
South Asia,SAS,GDP per capita (current US$),NY.GDP.PCAP.CD,763.923014240051,946.478936382281,947.411381921815,1028.80094011035,1242.3468611265,1351.99156959375,1347.91809454193
South Asia (IDA & IBRD),TSA,GDP per capita (current US$),NY.GDP.PCAP.CD,763.923014240051,946.478936382281,947.411381921815,1028.80094011035,1242.3468611265,1351.99156959375,1347.91809454193
Sub-Saharan Africa,SSF,GDP per capita (current US$),NY.GDP.PCAP.CD,1231.26521640411,1387.92223427887,1530.65916336888,1432.25235602555,1656.2118324716,1818.34222413246,1838.30933480109
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current US$),NY.GDP.PCAP.CD,1230.10244998321,1386.7885900403,1529.6572028356,1431.40841832899,1655.27854981657,1817.33969361862,1837.34436394168
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP per capita (current US$),NY.GDP.PCAP.CD,1231.26521640411,1387.92223427887,1530.65916336888,1432.25235602555,1656.2118324716,1818.34222413246,1838.30933480109
Upper middle income,UMC,GDP per capita (current US$),NY.GDP.PCAP.CD,3644.57518608182,4485.51495060606,5433.98336271995,5196.21917850604,6290.11009884083,7546.03030958207,8021.73367039928
World,WLD,GDP per capita (current US$),NY.GDP.PCAP.CD,7804.18026263553,8686.00895057651,9427.57192370836,8830.75274888574,9556.5689712282,10471.0142835756,10573.0645345175
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,
Last Updated: 12/22/2022,,,,,,,,,,
